symbol,quantity,avg_price,market_price,notional,unrealized_pnl,realized_pnl,forecast
NQ.v.0,2,24000,23885.8,48000,-4570,-2285,15.2379
ZR.v.0,-1,11.66,11.66,-11.66,0,0,-18.4715
6E.v.0,0,1.17065,1.17065,0,0,0,7.58233
HE.v.0,0,96.15,96.15,0,0,0,2.2555
6M.v.0,2,0.05365,0.05365,0.1073,0,0,12.3307
CL.v.0,-1,65,63.02,-65,19.8,19.8,-9.54194
6J.v.0,0,0.0067885,0.0067885,0,0,0,-2.8203
PL.v.0,1,1377.8,1377.8,1377.8,0,0,11.7902
UB.v.0,0,120.25,120.25,0,0,0,8.85927
GC.v.0,0,3671.1,3671.1,0,0,711,18.514
GF.v.0,0,349.925,349.925,0,0,0,12.8481
ZL.v.0,0,50.39,50.39,0,0,0,-1.94763
ZM.v.0,0,288.6,288.6,0,0,0,-4.86347
HG.v.0,0,4.567,4.567,0,0,0,-4.92782
6B.v.0,1,1.3522,1.3522,1.3522,0,-0.32625,6.67181
RB.v.0,-1,1.9988,1.9988,-1.9988,0,0,-10.244
RTY.v.0,1,2374.6,2374.6,2374.6,0,0,15.6119
LE.v.0,0,230.025,230.025,0,0,0,11.4152
6S.v.0,0,1.2548,1.2548,0,0,0,9.10144
6N.v.0,0,0.59275,0.59275,0,0,0,2.48054
KE.v.0,0,509.25,509.25,0,0,0,-13.2929
ZC.v.0,0,419.5,419.5,0,0,0,-2.63674
6C.v.0,0,0.7224,0.7224,0,0,0,-2.05701
SI.v.0,0,41.36,41.36,0,0,0,20
ZN.v.0,0,113.25,113.25,0,0,0,20
YM.v.0,5,45434.7,45652,227173,6520,0,15.8088
ZS.v.0,0,1030.5,1030.5,0,0,0,1.2392
ZW.v.0,0,519.5,519.5,0,0,0,-12.801
